frame,time,speed,obstacle_detected,features_detected
1,1749032223.72,0.03,False,200
2,1749032223.76,0.05,False,200
3,1749032223.79,0.04,False,200
4,1749032223.83,0.05,False,200
5,1749032223.86,0.14,False,200
6,1749032223.91,0.20,False,200
7,1749032223.94,0.26,False,200
8,1749032223.97,0.32,False,200
9,1749032224.00,0.38,False,200
10,1749032224.03,0.43,False,200
11,1749032224.06,0.48,False,200
12,1749032224.09,0.53,False,200
13,1749032224.12,0.58,False,200
14,1749032224.15,0.62,False,200
15,1749032224.18,0.67,False,200
16,1749032224.21,0.71,False,200
17,1749032224.24,0.76,False,200
18,1749032224.27,0.80,False,200
19,1749032224.30,0.85,False,200
20,1749032224.33,0.89,False,200
21,1749032224.37,0.93,False,200
22,1749032224.40,0.98,False,200
23,1749032224.43,1.02,False,200
24,1749032224.46,1.06,False,200
25,1749032224.50,1.10,False,200
26,1749032224.53,1.13,False,200
27,1749032224.55,1.16,False,200
28,1749032224.58,1.20,False,200
29,1749032224.61,1.23,False,200
30,1749032224.65,1.27,False,200
31,1749032224.68,1.30,False,200
32,1749032224.71,1.33,False,200
33,1749032224.75,1.36,False,200
34,1749032224.78,1.40,False,200
35,1749032224.82,0.51,True,200
36,1749032225.86,0.11,True,200
37,1749032226.89,0.02,True,200
38,1749032227.94,0.01,True,200
39,1749032228.97,0.01,False,200
40,1749032229.00,0.01,False,200
41,1749032229.03,0.05,True,200
42,1749032230.07,0.01,True,200
43,1749032231.10,0.00,True,200
44,1749032232.14,0.00,False,200
45,1749032232.17,0.00,False,200
46,1749032232.20,0.03,True,200
47,1749032232.23,0.05,True,200
48,1749032233.26,0.01,True,200
49,1749032234.30,0.00,True,200
50,1749032235.33,0.00,False,200
51,1749032235.36,0.00,False,200
52,1749032235.40,0.06,True,200
53,1749032236.44,0.01,True,200
54,1749032237.47,0.00,True,200
55,1749032238.51,0.00,False,200
56,1749032238.54,0.00,False,200
57,1749032238.57,0.05,True,200
58,1749032239.60,0.01,True,200
59,1749032240.64,0.00,True,200
