frame,time,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right
1,1749037394.83,0.02,False,200,0.00,0.00,0.00
2,1749037394.88,0.04,False,200,1.24,0.58,0.74
3,1749037394.92,0.06,False,200,244.82,179.14,142.97
4,1749037394.96,0.13,False,200,447.51,359.20,296.01
5,1749037395.01,0.45,False,200,485.33,349.70,325.76
6,1749037395.06,0.79,False,200,421.32,326.12,316.43
7,1749037395.11,1.12,False,200,288.07,254.98,246.09
8,1749037395.15,1.30,False,200,167.21,172.36,158.81
9,1749037395.18,1.42,False,200,104.27,102.03,94.77
10,1749037395.22,1.51,False,200,91.87,61.37,69.49
11,1749037395.25,1.59,False,200,111.17,56.75,80.85
12,1749037395.29,1.68,False,200,118.82,63.35,87.89
13,1749037395.33,1.74,False,200,149.65,83.25,112.95
14,1749037395.37,1.81,False,200,176.32,104.05,135.04
15,1749037395.40,1.87,False,200,184.58,109.53,141.67
16,1749037395.44,1.94,False,200,197.23,120.32,154.44
17,1749037395.47,2.00,False,200,207.29,127.35,161.86
18,1749037395.51,2.07,False,200,206.19,126.53,162.42
19,1749037395.55,2.14,False,200,226.62,132.85,170.79
20,1749037395.58,2.20,False,200,250.95,145.78,184.52
21,1749037395.62,2.28,False,200,244.22,137.80,176.84
22,1749037395.66,2.35,False,200,235.73,132.50,171.15
23,1749037395.70,2.42,False,200,231.99,128.35,169.52
24,1749037395.73,2.48,False,200,243.44,131.59,176.80
25,1749037395.77,2.55,False,200,248.93,128.41,173.56
26,1749037395.81,2.62,False,200,235.15,115.80,156.80
27,1749037395.84,2.67,False,200,245.45,117.46,154.13
28,1749037395.87,2.72,False,200,252.45,115.88,154.37
29,1749037395.91,2.78,False,200,253.28,112.07,153.42
30,1749037395.95,2.84,True,200,243.50,111.36,150.79
31,1749037396.99,1.02,True,200,135.41,71.75,90.60
32,1749037398.03,0.22,True,200,81.88,51.03,53.49
33,1749037399.07,0.05,True,200,46.10,29.45,31.75
34,1749037400.11,0.01,True,200,24.36,15.68,17.06
35,1749037401.15,0.00,True,200,12.59,8.28,8.87
36,1749037402.19,0.00,False,200,6.50,4.25,4.59
37,1749037402.23,0.00,True,200,4.79,3.19,3.32
38,1749037403.27,0.07,True,200,5.72,3.14,3.64
39,1749037404.31,0.02,True,200,4.39,2.77,3.32
