frame,time,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749039983.68,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749039983.72,0.03,False,200,1.24,0.66,0.75,blind_forward,0
3,1749039983.75,0.06,False,200,432.92,185.69,196.26,blind_forward,0
4,1749039983.79,0.08,False,200,524.68,335.94,329.97,blind_forward,0
5,1749039983.83,0.32,False,200,594.10,375.36,380.26,blind_forward,0
6,1749039983.87,0.56,False,200,538.86,389.31,393.82,blind_forward,0
7,1749039983.90,0.82,False,200,404.57,339.20,343.23,blind_forward,0
8,1749039983.94,1.02,False,200,270.73,256.74,252.69,blind_forward,0
9,1749039983.98,1.20,False,200,175.86,188.92,178.73,blind_forward,0
10,1749039984.02,1.34,False,200,103.55,131.47,116.63,blind_forward,0
11,1749039984.05,1.45,False,200,73.05,78.52,70.88,blind_forward,0
12,1749039984.08,1.52,False,200,74.66,49.44,59.86,blind_forward,0
13,1749039984.12,1.60,False,200,94.58,48.60,69.92,blind_forward,0
14,1749039984.15,1.67,False,200,113.45,61.07,86.96,blind_forward,0
15,1749039984.18,1.73,False,200,140.57,76.57,107.38,blind_forward,0
16,1749039984.22,1.79,False,200,158.23,90.51,123.09,blind_forward,0
17,1749039984.26,1.86,False,200,170.42,101.64,134.50,blind_forward,0
18,1749039984.29,1.93,False,200,187.22,115.02,149.80,blind_forward,0
19,1749039984.33,1.99,False,200,191.66,120.45,154.18,blind_forward,0
20,1749039984.36,2.05,False,200,202.18,128.46,164.14,blind_forward,0
21,1749039984.39,2.12,False,200,204.66,129.65,165.68,blind_forward,0
22,1749039984.43,2.17,False,200,211.31,132.85,170.01,blind_forward,0
23,1749039984.46,2.24,False,200,216.20,133.86,172.25,blind_forward,0
24,1749039984.49,2.30,False,200,215.90,130.49,170.55,blind_forward,0
25,1749039984.53,2.36,False,200,221.01,130.92,168.95,blind_forward,0
26,1749039984.56,2.42,False,200,225.50,128.66,168.53,blind_forward,0
27,1749039984.59,2.49,False,200,226.56,126.09,166.51,blind_forward,0
28,1749039984.63,2.55,False,200,233.89,123.14,167.42,blind_forward,0
29,1749039984.66,2.61,False,200,220.12,113.50,154.73,blind_forward,0
30,1749039984.70,2.67,True,200,223.73,112.77,158.30,dodge_right,0
31,1749039986.96,0.49,True,200,118.20,65.44,84.75,dodge_right,0
32,1749039989.22,0.49,True,200,65.69,40.43,49.69,dodge_right,0
33,1749039991.47,0.06,True,200,38.35,29.60,35.51,no_dodge,0
34,1749039991.50,0.06,True,200,37.06,18.67,31.83,no_dodge,0
35,1749039991.53,0.06,True,200,33.80,15.09,27.95,no_dodge,0
36,1749039991.56,0.03,True,200,25.53,10.05,22.63,no_dodge,0
37,1749039991.59,0.03,True,200,44.64,12.69,39.45,no_dodge,0
38,1749039991.63,0.06,True,200,39.93,9.98,30.54,no_dodge,0
39,1749039991.66,0.08,True,200,43.26,10.84,30.10,dodge_right,0
