frame,abs_time,rel_time,pos_x,pos_y,pos_z,yaw,vx,vy,vz,speed,obstacle_detected,features_detected,flow_left,flow_center,flow_right,state,safe_counter
1,1749066224.26,0.01,0.00,0.00,-0.97,0.00,0.00,0.00,0.02,0.02,False,200,0.00,0.00,0.00,blind_forward,0
2,1749066224.30,0.05,0.00,0.00,-0.97,0.00,0.00,0.00,0.03,0.03,False,200,1.00,0.51,0.76,blind_forward,0
3,1749066224.34,0.09,0.00,-0.00,-0.97,-0.00,0.00,-0.00,0.06,0.06,False,200,310.76,143.23,124.04,blind_forward,0
4,1749066224.37,0.12,0.00,-0.00,-0.96,-0.00,0.04,-0.00,-0.03,0.05,False,200,418.43,230.42,223.42,blind_forward,0
5,1749066224.39,0.14,0.00,-0.00,-0.97,-0.00,0.11,-0.00,-0.19,0.22,False,200,390.73,250.91,263.02,blind_forward,0
6,1749066224.42,0.17,0.01,-0.00,-0.98,-0.00,0.21,-0.00,-0.36,0.42,False,200,364.10,253.09,295.48,blind_forward,0
7,1749066224.45,0.20,0.02,-0.00,-0.99,-0.00,0.33,-0.00,-0.53,0.62,False,200,281.74,229.27,251.06,blind_forward,0
8,1749066224.48,0.23,0.03,-0.00,-1.01,-0.00,0.46,-0.00,-0.70,0.84,False,200,217.65,202.58,213.05,blind_forward,0
9,1749066224.51,0.26,0.04,-0.00,-1.03,-0.00,0.59,-0.00,-0.83,1.02,False,200,160.27,165.04,165.78,blind_forward,0
10,1749066224.54,0.29,0.06,-0.00,-1.06,-0.00,0.72,-0.00,-0.94,1.18,False,200,106.82,124.37,119.96,blind_forward,0
11,1749066224.57,0.32,0.08,-0.00,-1.08,-0.00,0.83,-0.00,-0.99,1.30,False,200,63.33,85.58,77.93,blind_forward,0
12,1749066224.60,0.35,0.11,-0.00,-1.11,0.00,0.95,-0.00,-1.03,1.40,False,200,41.61,54.21,48.04,blind_forward,0
13,1749066224.63,0.37,0.14,-0.00,-1.14,0.00,1.05,-0.00,-1.04,1.48,False,200,38.72,32.29,33.47,blind_forward,0
14,1749066224.66,0.40,0.17,-0.00,-1.17,0.00,1.16,-0.00,-1.03,1.55,False,200,48.96,25.78,35.49,blind_forward,0
